,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Chance of Admit,Research_No,Research_Yes,Predict_Chance_of_Admit,Predict_Chance_of_Admit,Predict_Chance_of_Admit,Predict_Chance_of_Admit,Predict_Chance_of_Admit,Predict_Chance_of_Admit
89,308,105,4,3.0,2.5,7.95,0.67,0,1,0.67,0.67,67.0,0.67,0.67,0.67
90,332,118,5,5.0,5.0,9.64,0.94,0,1,0.94,0.94,94.0,0.94,0.94,0.94
91,306,103,3,3.5,3.0,8.21,0.64,1,0,0.64,0.64,64.0,0.64,0.64,0.64
92,300,97,2,3.0,3.0,8.1,0.65,0,1,0.65,0.65,65.0,0.65,0.65,0.65
93,316,109,4,4.5,3.5,8.76,0.74,0,1,0.74,0.74,74.0,0.74,0.74,0.74
94,315,100,1,2.0,2.5,7.95,0.58,1,0,0.58,0.58,57.99999999999999,0.58,0.58,0.58
95,340,120,4,5.0,5.0,9.5,0.96,0,1,0.96,0.96,96.0,0.96,0.96,0.96
96,327,112,3,3.0,3.0,8.72,0.74,0,1,0.74,0.74,74.0,0.74,0.74,0.74
97,322,110,3,3.5,3.0,8.96,0.78,0,1,0.78,0.78,78.0,0.78,0.78,0.78
98,321,109,4,4.0,4.0,9.13,0.85,0,1,0.85,0.85,85.0,0.85,0.85,0.85
99,324,112,4,4.0,2.5,8.1,0.72,0,1,0.72,0.72,72.0,0.72,0.72,0.72
100,311,99,1,2.5,3.0,8.43,0.71,0,1,0.71,0.71,71.0,0.71,0.71,0.71
101,332,112,1,1.5,3.0,8.66,0.79,0,1,0.79,0.79,79.0,0.79,0.79,0.79
102,307,102,3,3.0,3.0,8.27,0.73,1,0,0.73,0.73,73.0,0.73,0.73,0.73
103,337,118,4,4.5,4.5,9.65,0.92,0,1,0.92,0.92,92.0,0.92,0.92,0.92
104,303,98,1,2.0,2.5,7.65,0.56,1,0,0.56,0.56,56.00000000000001,0.56,0.56,0.56
105,298,101,2,1.5,2.0,7.86,0.54,1,0,0.54,0.54,54.0,0.54,0.54,0.54
106,326,102,4,5.0,5.0,8.76,0.77,0,1,0.77,0.77,77.0,0.77,0.77,0.77
107,333,118,5,5.0,5.0,9.35,0.92,0,1,0.92,0.92,92.0,0.92,0.92,0.92
108,301,99,3,2.5,2.0,8.45,0.68,0,1,0.68,0.68,68.0,0.68,0.68,0.68
109,320,108,3,3.5,5.0,8.97,0.84,0,1,0.84,0.84,84.0,0.84,0.84,0.84
110,309,99,3,4.0,4.0,8.56,0.76,1,0,0.76,0.76,76.0,0.76,0.76,0.76
111,308,108,3,3.5,3.5,8.22,0.61,1,0,0.61,0.61,61.0,0.61,0.61,0.61
112,311,105,2,3.0,2.0,8.12,0.73,0,1,0.73,0.73,73.0,0.73,0.73,0.73
113,321,109,3,3.5,3.5,8.8,0.74,0,1,0.74,0.74,74.0,0.74,0.74,0.74
114,319,103,3,2.5,4.0,8.76,0.73,0,1,0.73,0.73,73.0,0.73,0.73,0.73
115,338,117,4,3.5,4.5,9.46,0.91,0,1,0.91,0.91,91.0,0.91,0.91,0.91
116,315,106,3,4.5,3.5,8.42,0.72,1,0,0.72,0.72,72.0,0.72,0.72,0.72
117,328,113,4,4.0,2.5,8.77,0.83,0,1,0.83,0.83,83.0,0.83,0.83,0.83
118,332,118,2,4.5,3.5,9.36,0.9,0,1,0.9,0.9,90.0,0.9,0.9,0.9
119,301,96,1,3.0,4.0,7.56,0.54,1,0,0.54,0.54,54.0,0.54,0.54,0.54
120,295,93,1,2.0,2.0,7.2,0.46,1,0,0.46,0.46,46.0,0.46,0.46,0.46
121,320,110,5,4.0,4.0,9.27,0.87,0,1,0.87,0.87,87.0,0.87,0.87,0.87
122,305,102,2,1.5,2.5,7.64,0.59,1,0,0.59,0.59,59.0,0.59,0.59,0.59
123,325,110,4,3.5,4.0,8.67,0.73,0,1,0.73,0.73,73.0,0.73,0.73,0.73
124,317,110,3,4.0,4.5,9.11,0.8,0,1,0.8,0.8,80.0,0.8,0.8,0.8
125,300,100,3,3.0,3.5,8.26,0.62,1,0,0.62,0.62,62.0,0.62,0.62,0.62
126,321,109,4,4.0,4.0,8.68,0.69,0,1,0.69,0.69,69.0,0.69,0.69,0.69
127,316,99,2,2.5,3.0,9.0,0.7,1,0,0.7,0.7,70.0,0.7,0.7,0.7
128,330,116,5,5.0,4.5,9.36,0.93,0,1,0.93,0.93,93.0,0.93,0.93,0.93
129,329,113,5,5.0,4.5,9.45,0.89,0,1,0.89,0.89,89.0,0.89,0.89,0.89
130,321,111,5,5.0,5.0,9.45,0.93,0,1,0.93,0.93,93.0,0.93,0.93,0.93
131,299,97,3,5.0,3.5,7.66,0.38,1,0,0.38,0.38,38.0,0.38,0.38,0.38
132,321,112,5,5.0,5.0,9.06,0.86,0,1,0.86,0.86,86.0,0.86,0.86,0.86
133,310,107,3,3.5,3.5,8.67,0.76,1,0,0.76,0.76,76.0,0.76,0.76,0.76
134,320,104,3,3.0,3.5,8.74,0.76,0,1,0.76,0.76,76.0,0.76,0.76,0.76
135,304,105,1,3.0,1.5,7.5,0.52,1,0,0.52,0.52,52.0,0.52,0.52,0.52
136,312,109,3,3.0,3.0,8.69,0.77,1,0,0.77,0.77,77.0,0.77,0.77,0.77
137,311,104,3,4.5,4.5,8.43,0.7,1,0,0.7,0.7,70.0,0.7,0.7,0.7
138,319,110,3,3.0,2.5,8.79,0.72,1,0,0.72,0.72,72.0,0.72,0.72,0.72
139,334,116,4,4.0,3.0,8.0,0.78,0,1,0.78,0.78,78.0,0.78,0.78,0.78
140,330,115,5,4.5,3.0,9.34,0.9,0,1,0.9,0.9,90.0,0.9,0.9,0.9
141,312,100,2,1.5,3.5,7.9,0.56,0,1,0.56,0.56,56.00000000000001,0.56,0.56,0.56
142,326,112,3,3.5,3.0,9.1,0.84,0,1,0.84,0.84,84.0,0.84,0.84,0.84
143,314,105,2,2.5,2.0,7.64,0.7,1,0,0.7,0.7,70.0,0.7,0.7,0.7
144,301,107,3,3.5,3.5,8.34,0.62,0,1,0.62,0.62,62.0,0.62,0.62,0.62
145,320,112,2,3.5,3.5,8.78,0.73,0,1,0.73,0.73,73.0,0.73,0.73,0.73
146,321,114,4,4.0,5.0,9.12,0.85,1,0,0.85,0.85,85.0,0.85,0.85,0.85
147,298,92,1,2.0,2.0,7.88,0.51,1,0,0.51,0.51,51.0,0.51,0.51,0.51
148,330,114,4,4.5,3.0,9.17,0.86,0,1,0.86,0.86,86.0,0.86,0.86,0.86
149,304,104,3,2.5,2.0,8.12,0.62,1,0,0.62,0.62,62.0,0.62,0.62,0.62
150,340,112,4,5.0,4.5,9.66,0.94,0,1,0.94,0.94,94.0,0.94,0.94,0.94
151,329,114,2,2.0,4.0,8.56,0.72,0,1,0.72,0.72,72.0,0.72,0.72,0.72
152,296,95,2,3.0,2.0,7.54,0.44,0,1,0.44,0.44,44.0,0.44,0.44,0.44
153,305,106,2,3.0,3.0,8.16,0.64,1,0,0.64,0.64,64.0,0.64,0.64,0.64
154,314,99,4,3.5,4.5,8.73,0.71,0,1,0.71,0.71,71.0,0.71,0.71,0.71
155,303,100,2,3.0,3.5,8.06,0.64,0,1,0.64,0.64,64.0,0.64,0.64,0.64
156,320,108,3,3.5,4.0,8.44,0.76,0,1,0.76,0.76,76.0,0.76,0.76,0.76
157,321,110,3,3.5,5.0,8.85,0.82,0,1,0.82,0.82,82.0,0.82,0.82,0.82
158,310,103,2,2.5,2.5,8.24,0.72,1,0,0.72,0.72,72.0,0.72,0.72,0.72
159,319,110,3,3.5,3.5,9.04,0.82,1,0,0.82,0.82,82.0,0.82,0.82,0.82
160,324,113,4,4.5,4.5,9.25,0.89,0,1,0.89,0.89,89.0,0.89,0.89,0.89
161,325,112,4,3.5,3.5,8.92,0.55,1,0,0.55,0.55,55.00000000000001,0.55,0.55,0.55
162,295,101,2,2.5,2.0,7.86,0.69,1,0,0.69,0.69,69.0,0.69,0.69,0.69
163,340,115,5,4.5,4.5,9.45,0.94,0,1,0.94,0.94,94.0,0.94,0.94,0.94
164,321,102,3,3.5,4.0,9.01,0.8,0,1,0.8,0.8,80.0,0.8,0.8,0.8
165,316,102,2,4.0,3.5,8.15,0.67,1,0,0.67,0.67,67.0,0.67,0.67,0.67
166,307,105,2,2.5,3.0,7.65,0.58,1,0,0.58,0.58,57.99999999999999,0.58,0.58,0.58
167,323,113,4,4.0,4.5,9.23,0.89,0,1,0.89,0.89,89.0,0.89,0.89,0.89
168,327,113,4,3.5,3.0,8.69,0.8,0,1,0.8,0.8,80.0,0.8,0.8,0.8
169,316,105,3,3.0,3.5,8.73,0.72,1,0,0.72,0.72,72.0,0.72,0.72,0.72
170,309,100,2,3.0,3.0,8.1,0.48,1,0,0.48,0.48,48.0,0.48,0.48,0.48
171,298,105,3,3.5,4.0,8.54,0.69,1,0,0.69,0.69,69.0,0.69,0.69,0.69
172,310,102,3,3.5,4.0,8.02,0.66,0,1,0.66,0.66,66.0,0.66,0.66,0.66
173,325,114,4,3.0,2.0,8.4,0.7,1,0,0.7,0.7,70.0,0.7,0.7,0.7
174,324,111,4,3.0,3.0,9.01,0.82,0,1,0.82,0.82,82.0,0.82,0.82,0.82
175,325,112,4,4.0,4.0,9.0,0.8,0,1,0.8,0.8,80.0,0.8,0.8,0.8
176,314,102,4,2.5,2.0,7.88,0.59,0,1,0.59,0.59,59.0,0.59,0.59,0.59
177,293,97,2,2.0,4.0,7.8,0.64,0,1,0.64,0.64,64.0,0.64,0.64,0.64
178,321,111,3,3.5,4.0,8.83,0.77,0,1,0.77,0.77,77.0,0.77,0.77,0.77
179,333,119,5,5.0,4.5,9.78,0.96,0,1,0.96,0.96,96.0,0.96,0.96,0.96
180,312,106,3,3.0,5.0,8.57,0.71,1,0,0.71,0.71,71.0,0.71,0.71,0.71
181,325,112,4,4.0,4.5,9.17,0.85,0,1,0.85,0.85,85.0,0.85,0.85,0.85
182,300,102,3,3.5,2.5,8.17,0.63,1,0,0.63,0.63,63.0,0.63,0.63,0.63
183,324,111,3,2.5,1.5,8.79,0.7,0,1,0.7,0.7,70.0,0.7,0.7,0.7
184,312,101,2,2.5,3.5,8.04,0.68,0,1,0.68,0.68,68.0,0.68,0.68,0.68
185,313,102,3,2.0,3.0,8.27,0.64,1,0,0.64,0.64,64.0,0.64,0.64,0.64
186,323,107,3,3.5,3.5,8.55,0.73,0,1,0.73,0.73,73.0,0.73,0.73,0.73
187,324,107,4,4.0,4.5,8.87,0.76,0,1,0.76,0.76,76.0,0.76,0.76,0.76
188,317,107,3,3.5,3.0,8.68,0.84,0,1,0.84,0.84,84.0,0.84,0.84,0.84
189,324,110,4,3.0,3.5,8.97,0.84,0,1,0.84,0.84,84.0,0.84,0.84,0.84
190,333,117,4,5.0,4.0,9.66,0.95,0,1,0.95,0.95,95.0,0.95,0.95,0.95
191,309,105,4,3.5,2.0,8.18,0.65,1,0,0.65,0.65,65.0,0.65,0.65,0.65
192,329,119,4,4.5,4.5,9.16,0.9,0,1,0.9,0.9,90.0,0.9,0.9,0.9
193,300,100,3,2.0,3.0,8.66,0.64,0,1,0.64,0.64,64.0,0.64,0.64,0.64
194,329,111,4,4.5,4.5,9.18,0.87,0,1,0.87,0.87,87.0,0.87,0.87,0.87
195,324,110,3,3.5,3.0,9.22,0.89,0,1,0.89,0.89,89.0,0.89,0.89,0.89
196,321,109,3,3.0,4.0,8.2,0.75,0,1,0.75,0.75,75.0,0.75,0.75,0.75
197,324,107,5,3.5,4.0,8.66,0.81,0,1,0.81,0.81,81.0,0.81,0.81,0.81
198,312,110,2,3.5,3.0,8.53,0.64,1,0,0.64,0.64,64.0,0.64,0.64,0.64
199,312,107,3,3.0,3.0,8.46,0.75,0,1,0.75,0.75,75.0,0.75,0.75,0.75
200,318,110,3,4.0,3.0,8.8,0.63,1,0,0.63,0.63,63.0,0.63,0.63,0.63
201,322,110,3,3.0,3.5,8.0,0.7,1,0,0.7,0.7,70.0,0.7,0.7,0.7
202,301,106,4,2.5,3.0,8.47,0.57,1,0,0.57,0.57,56.99999999999999,0.57,0.57,0.57
203,300,99,1,1.0,2.5,8.01,0.58,1,0,0.58,0.58,57.99999999999999,0.58,0.58,0.58
204,314,105,3,3.5,2.5,8.3,0.54,1,0,0.54,0.54,54.0,0.54,0.54,0.54
205,321,111,3,2.5,3.0,8.9,0.8,0,1,0.8,0.8,80.0,0.8,0.8,0.8
206,305,96,4,3.0,4.5,8.26,0.54,1,0,0.54,0.54,54.0,0.54,0.54,0.54
207,326,116,2,4.5,3.0,9.08,0.8,0,1,0.8,0.8,80.0,0.8,0.8,0.8
208,311,104,3,4.0,3.5,8.13,0.74,0,1,0.74,0.74,74.0,0.74,0.74,0.74
209,319,106,3,3.5,2.5,8.33,0.74,0,1,0.74,0.74,74.0,0.74,0.74,0.74
210,328,116,4,5.0,3.5,9.6,0.93,0,1,0.93,0.93,93.0,0.93,0.93,0.93
211,319,105,3,3.0,3.5,8.67,0.73,0,1,0.73,0.73,73.0,0.73,0.73,0.73
212,312,108,3,3.5,3.0,8.53,0.69,1,0,0.69,0.69,69.0,0.69,0.69,0.69
213,327,104,5,3.0,3.5,8.84,0.71,0,1,0.71,0.71,71.0,0.71,0.71,0.71
214,315,105,3,2.0,2.5,8.48,0.75,1,0,0.75,0.75,75.0,0.75,0.75,0.75
215,329,114,5,4.5,5.0,9.19,0.86,0,1,0.86,0.86,86.0,0.86,0.86,0.86
216,294,93,1,1.5,2.0,7.36,0.46,1,0,0.46,0.46,46.0,0.46,0.46,0.46
217,322,112,3,3.0,4.0,8.62,0.76,0,1,0.76,0.76,76.0,0.76,0.76,0.76
218,321,112,3,3.0,4.5,8.95,0.77,0,1,0.77,0.77,77.0,0.77,0.77,0.77
219,327,113,4,4.5,4.5,9.04,0.84,1,0,0.84,0.84,84.0,0.84,0.84,0.84
220,339,116,4,4.0,3.5,9.8,0.96,0,1,0.96,0.96,96.0,0.96,0.96,0.96
221,316,103,3,3.5,2.0,7.68,0.52,1,0,0.52,0.52,52.0,0.52,0.52,0.52
222,305,105,2,3.0,2.0,8.23,0.67,1,0,0.67,0.67,67.0,0.67,0.67,0.67
223,311,104,3,3.5,2.0,8.2,0.61,0,1,0.61,0.61,61.0,0.61,0.61,0.61
224,323,108,5,4.0,4.0,8.74,0.81,0,1,0.81,0.81,81.0,0.81,0.81,0.81
225,314,110,3,4.0,4.0,8.8,0.75,1,0,0.75,0.75,75.0,0.75,0.75,0.75
226,310,106,4,4.5,4.5,9.04,0.66,0,1,0.66,0.66,66.0,0.66,0.66,0.66
227,324,112,4,4.0,3.5,8.77,0.8,0,1,0.8,0.8,80.0,0.8,0.8,0.8
228,314,109,4,3.5,4.0,8.77,0.82,0,1,0.82,0.82,82.0,0.82,0.82,0.82
229,326,116,3,3.5,4.0,9.14,0.81,0,1,0.81,0.81,81.0,0.81,0.81,0.81
230,317,101,3,3.0,2.0,7.94,0.49,0,1,0.49,0.49,49.0,0.49,0.49,0.49
231,323,113,3,4.0,4.0,8.88,0.79,0,1,0.79,0.79,79.0,0.79,0.79,0.79
232,298,98,2,1.5,2.5,7.5,0.44,0,1,0.44,0.44,44.0,0.44,0.44,0.44
233,306,103,2,2.5,3.0,8.36,0.69,1,0,0.69,0.69,69.0,0.69,0.69,0.69
234,316,101,2,2.5,2.0,8.32,0.61,0,1,0.61,0.61,61.0,0.61,0.61,0.61
235,321,109,3,3.0,3.0,8.54,0.79,0,1,0.79,0.79,79.0,0.79,0.79,0.79
236,327,108,5,5.0,3.5,9.13,0.87,0,1,0.87,0.87,87.0,0.87,0.87,0.87
237,306,105,2,3.0,2.5,8.26,0.73,1,0,0.73,0.73,73.0,0.73,0.73,0.73
238,334,116,4,4.0,3.5,9.54,0.93,0,1,0.93,0.93,93.0,0.93,0.93,0.93
239,301,100,3,3.5,3.0,8.04,0.67,1,0,0.67,0.67,67.0,0.67,0.67,0.67
240,334,114,4,4.0,4.0,9.43,0.93,0,1,0.93,0.93,93.0,0.93,0.93,0.93
241,331,119,4,5.0,4.5,9.34,0.9,0,1,0.9,0.9,90.0,0.9,0.9,0.9
242,318,110,1,2.5,3.5,8.54,0.67,0,1,0.67,0.67,67.0,0.67,0.67,0.67
243,323,112,5,4.0,4.5,8.78,0.79,1,0,0.79,0.79,79.0,0.79,0.79,0.79
244,324,105,3,3.0,4.0,8.75,0.79,1,0,0.79,0.79,79.0,0.79,0.79,0.79
245,319,108,3,3.0,3.5,8.54,0.71,0,1,0.71,0.71,71.0,0.71,0.71,0.71
246,340,115,5,5.0,4.5,9.06,0.95,0,1,0.95,0.95,95.0,0.95,0.95,0.95
247,324,111,3,2.5,2.0,8.8,0.79,0,1,0.79,0.79,79.0,0.79,0.79,0.79
248,317,104,2,4.5,4.0,8.47,0.57,1,0,0.57,0.57,56.99999999999999,0.57,0.57,0.57
249,325,107,3,3.0,3.5,9.11,0.84,0,1,0.84,0.84,84.0,0.84,0.84,0.84
250,325,114,3,3.5,3.0,9.04,0.76,0,1,0.76,0.76,76.0,0.76,0.76,0.76
251,340,120,4,4.5,4.0,9.92,0.97,0,1,0.97,0.97,97.0,0.97,0.97,0.97
252,318,107,3,3.0,3.5,8.27,0.74,0,1,0.74,0.74,74.0,0.74,0.74,0.74
253,328,116,5,5.0,5.0,9.5,0.94,0,1,0.94,0.94,94.0,0.94,0.94,0.94
254,317,103,2,2.5,2.0,8.15,0.65,1,0,0.65,0.65,65.0,0.65,0.65,0.65
255,312,103,3,5.0,4.0,8.45,0.76,1,0,0.76,0.76,76.0,0.76,0.76,0.76
256,310,106,4,1.5,2.5,8.36,0.57,1,0,0.57,0.57,56.99999999999999,0.57,0.57,0.57
257,333,113,5,4.0,4.0,9.28,0.89,0,1,0.89,0.89,89.0,0.89,0.89,0.89
258,309,108,3,2.5,3.0,8.12,0.72,1,0,0.72,0.72,72.0,0.72,0.72,0.72
259,304,101,2,2.0,2.5,7.66,0.38,1,0,0.38,0.38,38.0,0.38,0.38,0.38
260,297,100,1,1.5,2.0,7.9,0.52,1,0,0.52,0.52,52.0,0.52,0.52,0.52
261,327,114,3,3.0,3.0,9.02,0.61,1,0,0.61,0.61,61.0,0.61,0.61,0.61
